gap> ScanRange(1, 120);

============================================================
  SCANNING GROUPS: order 1 to 120
  (Reproducing Velasquez-Berroteran 2022, aiming past 60)
============================================================
  Order    ID                 Group  Equal Covering?
     48    47  C3 x ((C4 x C2) : C2)  YES
     48    48               C2 x S4  YES
     48    49          C2 x C2 x A4  YES
     48    50  (C2 x C2 x C2 x C2) : C3  YES
     48    51     C2 x C2 x C2 x S3  YES
     48    52     C6 x C2 x C2 x C2  YES
     49     1                   C49  cyclic — skip
     49     2               C7 x C7  YES
     50     1                   D50  no
     50     2                   C50  cyclic — skip
     50     3              C5 x D10  no
     50     4        (C5 x C5) : C2  YES
     50     5              C10 x C5  YES
     51     1                   C51  cyclic — skip
     52     1              C13 : C4  no
     52     2                   C52  cyclic — skip
     52     3              C13 : C4  no
     52     4                   D52  YES
     52     5              C26 x C2  YES
     53     1                   C53  cyclic — skip
     54     1                   D54  no
     54     2                   C54  cyclic — skip
     54     3              C3 x D18  no
     54     4               C9 x S3  no
     54     5        (C3 x C3) : C6  no
     54     6               C9 : C6  no
     54     7        (C9 x C3) : C2  YES
     54     8  ((C3 x C3) : C3) : C2  YES
     54     9              C18 x C3  YES
     54    10  C2 x ((C3 x C3) : C3)  YES
     54    11        C2 x (C9 : C3)  YES
     54    12          C3 x C3 x S3  YES
     54    13  C3 x ((C3 x C3) : C2)  YES
     54    14   (C3 x C3 x C3) : C2  YES
     54    15          C6 x C3 x C3  YES
     55     1              C11 : C5  no
     55     2                   C55  cyclic — skip
     56     1               C7 : C8  no
     56     2                   C56  cyclic — skip
     56     3               C7 : Q8  YES
     56     4              C4 x D14  YES
     56     5                   D56  YES
     56     6        C2 x (C7 : C4)  YES
     56     7       (C14 x C2) : C2  YES
     56     8              C28 x C2  YES
     56     9               C7 x D8  YES
     56    10               C7 x Q8  YES
     56    11   (C2 x C2 x C2) : C7  no
     56    12         C2 x C2 x D14  YES
     56    13         C14 x C2 x C2  YES
     57     1              C19 : C3  no
     57     2                   C57  cyclic — skip
     58     1                   D58  no
     58     2                   C58  cyclic — skip
     59     1                   C59  cyclic — skip
     60     1        C5 x (C3 : C4)  no
     60     2        C3 x (C5 : C4)  no
     60     3              C15 : C4  no
     60     4                   C60  cyclic — skip
     60     5                    A5  no
     60     6        C3 x (C5 : C4)  no
     60     7              C15 : C4  no
     60     8              S3 x D10  YES
     60     9               C5 x A4  no
     60    10              C6 x D10  YES
     60    11              C10 x S3  YES
     60    12                   D60  YES
     60    13              C30 x C2  YES
     61     1                   C61  cyclic — skip
     62     1                   D62  no
